VA,provisional_name,status,role,evidence
0x00763170,IsFullSplitEffective,Verified,FULL/PREDETERMINADO predicate,"reads +0x3084,+0x3085"
0x0076C0C0,RecalculateSplitGeometry,Verified,central split geometry,"direct 0x76C0C0..0x76C1E8 disassembly; exact writes +3068..+3080; clamps H/W at 0.9, synthesizes 16:9 width below 0.5625, computes scale/i0/i1/param/offset/vertical and uses exact Full predicate"
0x0076C1F0,UpdateSplitActivationAndResource,Verified,split activation/resource lifecycle,"direct 0x76C1F0..0x76C29F disassembly; active iff aspect<0.5625 except status 7 additionally requires aspect<0.425; alloc 0x230 align 0x10, ctor B8D6A0, flag 0x2000, register id 0x1E"
0x0076C2A0,PanelTransform,Verified,split-aware Y/panel coordinate transform,"direct 0x76C2A0..0x76C34C disassembly; RET 4; status!=1 passthrough; aspect 0.9 clamp, optional active 16:9 effective width, exact integer 0x320 scaling and final 1/720+0.5 scalar"
0x00723460,PollLocalJoin,Partial,recurring local J2 join detector,"native input/local-join path"
0x00720CE0,BeginAddPlayer,Partial,transition into native Add Player state,"writes aGame +0x350,+0x354; transitions to state 13"
0x00716720,SetLocalPlayerActive,Partial,activate/deactivate local player slot,"updates session active mask/slot mode/device"
0x00725C23,State13ActivationCallsite,Discovered,Add Player state to player activation,"calls 0x00716720"
0x00A23A00,SplitDrawPrimary,Verified,primary split-aware menu geometry,"direct disassembly of full 0xA23A00..0xA23B3C body from unpacked 1.2.0; RET 4"
0x00A23B40,DrawSecondarySplitMenu,Verified,secondary split-aware menu draw,"direct 0xA23B40..0xA23C3F disassembly; exact global 0x123457C, Full helper 0x76A460, panel transform 0x76C2A0 and final draw 0x9E5DE0"
0x00A24850,SplitTop22,Partial,large split-aware UI builder,"direct disassembly of complete 0x421-byte body; structured C++ reconstruction committed; helper semantics still provisional"
0x00A1B0E0,SplitDisplayObserverFamily,Discovered,parent display/split observer family,"contains direct +0x3084/+0x3085 refs; helper 0xA1B240 now recovered separately"
0x00A1B240,DetectResolutionOrFullSplitChange,Verified,dynamic resolution/full split change detector,"single confirmed 1.2 caller at 0xA1E653; compares cached +0x50/+0x54/+0x58 against dimensions and IsFullSplitEffective"
0x00A1BE00,RebuildSplitUiGeometry,Verified,split-aware UI geometry rebuild,"direct 0xA1BE00..0xA1C396 audit; +0x3070 stored into persistent local [esp+0x14] and reused for every XYZ scale vector; 11-widget block repeated +0x1F8"
0x00A22C00,UpdateSplitGeometry,Verified,split geometry/aspect tail,"direct disassembly 0xA22C00..0xA22CF6; status==1 + splitActive + !FullEffective applies -(width-height*16/9)/2 scaled by uiWidth/renderWidth to +0x2C"
0x00B793B0,SplitCursorPreClamp,Partial,parent cursor/update routine,"full function contains unrelated work; split-specific clamp isolated and verified at 0xB794AD..0xB79659"
0x00B794AD,ApplySplitCursorClamp,Verified,per-player/full/default cursor clamp,"direct disassembly; status==1 uses 0.3/0.7 horizontal margins, splitI0, splitActive, Full predicate and vertical half-screen clamp; transient non-status-1 branch clamps X to centered 16:9 region"
0x009EB9D0,SplitStateChangeDetector,Verified,split UI state/cache change detector,"direct disassembly 0x9EB9D0..0x9EBA6A; compares status +E0, resolved player index +198, effective Full +E4 when status==1, then dimensions +20/+24 and refreshes width/height cache"
0x009EDE30,SplitResourceGeometryFamily,Partial,resource geometry family using scale2/full/active,"split-specific tail 0x9EF4CC..0x9EF55F reconstructed branch-exact"
0x009EF4CC,ApplySplitResourceGeometryTail,Verified,split resource geometry tail,"direct 0x9EF4CC..0x9EF55F audit corrected prior source: defaults y=-180,widths=1280 and splitActive x/width shift are unconditional; only scale2/FULL width scaling is gated by status==1"
0x00A2D710,SplitAspectCorrectionFamily,Partial,parent UI/draw family,"two equivalent split-specific X correction blocks isolated and verified at 0xA2D8F3..0xA2D949 and 0xA2DB71..0xA2DBC7"
0x00A2D906,ApplySplitAspectXCorrection,Verified,twin split aspect X correction,"status==1 + splitActive + !FullEffective; correction = -((renderWidth-trunc(renderHeight*1.77777779))/2)*elementWidth/renderWidth; identical second copy at 0xA2DB84/0xA2DB8D family"
0x009F2280,TransientSplitVisibilityGuard,Partial,parent widget/update family,"split-specific type-8 visibility branch isolated and verified at 0x9F2A80..0x9F2A9C"
0x009F2A80,ApplyTransientVisibilityGuard,Verified,transient split visibility guard,"direct disassembly: type==8 and +0x3085==0 clears widget+0x08; transient nonzero skips clear"
0x00CEE1B0,PlayerStateAccessor,Verified,transversal local player state accessor,"direct 0xCEE1B0..0xCEE1CD disassembly; RET 4; selector byte zero + transient flag returns 1, otherwise returns self+0x5C"
0x009E3E70,DrawShiftedByMeasuredExtent,Verified,measured-resource X shift wrapper,"direct full 0x9E3E70..0x9E3ED0 disassembly; RET 0x1C; measures arg4 through 0x7DC6B0, CVTTSS2SI extent, forwards seven args to 0x9E5DE0 with arg2-extent, returns integer extent"
0x009E3EE0,AdjustUiCoordinates,Verified,UI metric-dependent coordinate adjustment,"direct full 0x9E3EE0..0x9E3FDC disassembly; RET 0x18; modes 1/2/3 reconstructed instruction-faithfully around 0x7DC6B0; 0x10BB498 verified as 0.5f; signed half uses CVTTSS2SI/CDQ/SUB/SAR truncation; Win32 i386 COFF compile PASS"
0x009E5870,SplitUiTableFallback,Partial,table-driven UI dispatcher/fallback,"full native dispatcher directly disassembled 0x9E5870..0x9E5DD0; legacy explicit event cases plus 55-record fallback are mapped; table-driven path 0x9E5C6E..0x9E5DD0 decoded including verified 0x9E3EE0, status==1 split X transform, 0x76C2A0 Y transform and low-level 0x7DDFB0 draw"
0x009E5B0C,FindSplitUiFallbackRecord,Verified,table-driven event lookup,"direct 1.2 disassembly scans 55 records at 0x1121C98 with 24-byte stride and compares eventId at +0x10"
0x009E5DE0,DrawSplitAwareDispatch,Verified,split-aware draw routing,"direct full 0x9E5DE0..0x9E5E8B disassembly; RET 0x1C; gate byte at arg4+3 suppresses draw; otherwise calls 0x9E5870 with same seven args and falls back to renderer pack only when unconsumed"
0x009E5E90,DrawCenteredSplitAware,Verified,centering wrapper around split-aware dispatcher,"direct full 0x9E5E90..0x9E5F0E disassembly; RET 0x18; 0x7DC6B0 measures resource arg5; same measured scalar is multiplied by verified 0.5f and subtracted from both arg2/arg3 before forwarding to 0x9E5DE0 with sentinel -1"
0x01121C98,SplitUiFallbackTable,Verified,55-entry split UI fallback table,"raw PE table decoded as six int32 fields per record; exact 11 Dev-missing records committed"
0x007B5C50,SplitUiTransformFamily,Partial,parent coordinate/hit-test routine,"direct disassembly performed through split affine setup and hit-test loop; family contains surrounding non-split state logic"
0x007B5D60,ComputeSplitHitTransform,Verified,split affine state precompute,"direct 1.2 audit 0x7B5D60..0x7B5F44; exact aspect>0.9 crop branch, active effectiveWidth=trunc(H*16/9), scaleX/scaleY, offsetY term, player 0/1 0.3/0.7 anchors +360 Y, Full 0.5 override; exact constants decoded from PE"
0x007B6034,SplitHitTestAffine,Verified,split-aware UI hitbox test,"direct 0x7B6034..0x7B60A8 audit; X'=(baseX+edgeX)*scaleX+offsetX and Y'=(baseY+edgeY)*scaleY+offsetY; exact bounds left<=x<right top<=y<bottom"
